gene_id,gene_name
162,ENSG00000149527.18,PLCH2
163,ENSG00000224387.1,RP3-395M20.2
164,ENSG00000229393.1,RP3-395M20.3
165,ENSG00000157881.16,PANK4
166,ENSG00000197921.6,HES5
167,ENSG00000272449.2,RP3-395M20.12
168,ENSG00000238164.6,TNFRSF14-AS1
169,ENSG00000157873.18,TNFRSF14
170,ENSG00000225931.3,RP3-395M20.7
171,ENSG00000228037.1,RP3-395M20.9
172,ENSG00000157870.17,PRXL2B
173,ENSG00000142606.16,MMEL1
174,ENSG00000237058.1,MMEL1-AS1
175,ENSG00000215912.12,TTC34
176,ENSG00000285945.1,ABC14-1188822O7.2
177,ENSG00000283259.1,ABC14-1188822O7.1
178,ENSG00000233234.1,RP11-740P5.2
179,ENSG00000287396.1,RP11-740P5.4
180,ENSG00000231630.1,RP11-740P5.3
181,ENSG00000284745.1,RP5-907A6.1
182,ENSG00000169717.7,ACTRT2
183,ENSG00000177133.12,PRDM16-DT
184,ENSG00000142611.17,PRDM16
185,ENSG00000283572.1,MIR4251
186,ENSG00000226286.1,RP1-163G9.2
187,ENSG00000279839.1,RP11-193J6.1
188,ENSG00000272235.1,RP11-22L13.1
189,ENSG00000287828.1,RP4-785P20.3
190,ENSG00000286518.1,RP4-785P20.2
191,ENSG00000130762.15,ARHGEF16
192,ENSG00000272088.1,RP11-168F9.2
193,ENSG00000162591.16,MEGF6
194,ENSG00000207776.1,MIR551A
195,ENSG00000238260.1,RP11-46F15.2
196,ENSG00000158109.15,TPRG1L
197,ENSG00000116213.16,WRAP73
198,ENSG00000078900.15,TP73
199,ENSG00000227589.1,TP73-AS3
200,ENSG00000235131.1,TP73-AS2
201,ENSG00000227372.12,TP73-AS1
202,ENSG00000276189.1,ENSG10010138423.1
203,ENSG00000162592.10,CCDC27
204,ENSG00000235169.11,SMIM1
205,ENSG00000130764.10,LRRC47
206,ENSG00000266075.2,RN7SL574P
207,ENSG00000272153.1,RP1-286D6.5
208,ENSG00000116198.14,CEP104
209,ENSG00000169598.17,DFFB
210,ENSG00000198912.12,C1orf174
211,ENSG00000236423.6,LINC01134
212,ENSG00000233304.7,LINC01346
213,ENSG00000226374.3,LINC01345
214,ENSG00000284668.2,LINC02780
215,ENSG00000284703.1,RP11-718D19.2
216,ENSG00000229280.1,EEF1DP6
217,ENSG00000235054.4,LINC01777
218,ENSG00000284694.1,RP5-1166F10.2
219,ENSG00000227169.2,RP1-37J18.1
220,ENSG00000232596.3,LINC01646
221,ENSG00000196581.11,AJAP1
222,ENSG00000287586.1,RP1-77N19.1
223,ENSG00000284739.1,RP4-603B14.2
224,ENSG00000284674.1,LINC02781
225,ENSG00000231510.1,LINC02782
226,ENSG00000284616.1,RP4-703E10.1
227,ENSG00000284692.2,RP1-58B11.2
228,ENSG00000284666.1,RP1-58B11.3
229,ENSG00000260972.1,RP1-58B11.1
230,ENSG00000283356.1,RP3-491M17.1
231,ENSG00000236948.2,RP11-154H17.1
232,ENSG00000264341.1,ENSG00000264341
233,ENSG00000264101.1,MIR4689
234,ENSG00000131697.18,NPHP4
235,ENSG00000069424.15,KCNAB2
236,ENSG00000116254.18,CHD5
237,ENSG00000285629.1,RP1-120G22.12
238,ENSG00000116251.11,RPL22
239,ENSG00000226944.1,RNF207-AS1
240,ENSG00000158286.13,RNF207
241,ENSG00000116237.16,ICMT
242,ENSG00000225077.3,LINC00337
243,ENSG00000173673.8,HES3
244,ENSG00000158292.7,GPR153
245,ENSG00000097021.20,ACOT7
246,ENSG00000271746.1,RP1-202O8.3
247,ENSG00000069812.11,HES2
248,ENSG00000187017.17,ESPN
249,ENSG00000265392.1,MIR4252
250,ENSG00000231868.1,RP1-202O8.2
251,ENSG00000215788.11,TNFRSF25
252,ENSG00000171680.23,PLEKHG5
253,ENSG00000162408.11,NOL9
254,ENSG00000253022.1,RNU6-731P
255,ENSG00000229519.2,RP11-58A11.2
256,ENSG00000173662.21,TAS1R1
257,ENSG00000204859.13,ZBTB48
258,ENSG00000162413.16,KLHL21
259,ENSG00000116273.6,PHF13
260,ENSG00000041988.15,THAP3
261,ENSG00000007923.16,DNAJC11
262,ENSG00000228750.7,LINC01672
263,ENSG00000284744.1,RP11-242F24.2
264,ENSG00000237436.1,CAMTA1-DT
265,ENSG00000171735.19,CAMTA1
266,ENSG00000227950.1,RP11-312B8.2
267,ENSG00000237365.1,RP11-334N17.1
268,ENSG00000207056.1,RNU1-8P
269,ENSG00000237402.1,CAMTA1-IT1
270,ENSG00000237728.2,CAMTA1-AS2
271,ENSG00000225126.1,CAMTA1-AS1
272,ENSG00000270171.1,RP11-338N10.1
273,ENSG00000270035.1,RP11-338N10.2
274,ENSG00000269978.1,RP11-338N10.3
275,ENSG00000049245.13,VAMP3
276,ENSG00000269925.1,RP3-467L1.6
277,ENSG00000049246.15,PER3
278,ENSG00000236266.1,RP3-467L1.4
279,ENSG00000049247.14,UTS2
280,ENSG00000049249.9,TNFRSF9
281,ENSG00000270330.1,RP5-892F13.2
282,ENSG00000116288.13,PARK7
283,ENSG00000200344.1,Y
284,ENSG00000284747.1,CTA-215D11.6
285,ENSG00000284716.1,CTA-215D11.5
286,ENSG00000116285.13,ERRFI1
287,ENSG00000238290.1,RP11-431K24.1
288,ENSG00000232848.1,CTA-215D11.4
289,ENSG00000229305.1,RP11-431K24.2
290,ENSG00000227634.3,LINC01714
291,ENSG00000200975.1,RNU1-7P
292,ENSG00000233645.1,RP11-431K24.4
293,ENSG00000251977.1,RNU6-991P
294,ENSG00000162426.16,SLC45A1
295,ENSG00000252254.1,Y
296,ENSG00000142599.19,RERE
297,ENSG00000232912.6,RERE-AS1
298,ENSG00000221083.1,ENSG10010135148.1
299,ENSG00000270282.1,RP5-1115A15.2
300,ENSG00000234619.1,RPL7P11
301,ENSG00000224315.2,RPL7P7
302,ENSG00000222511.2,Y
303,ENSG00000226545.1,RP4-633I8.3
304,ENSG00000228423.2,RP4-633I8.4
305,ENSG00000229716.2,RPL23AP19
306,ENSG00000074800.16,ENO1
307,ENSG00000274258.1,MIR6728
308,ENSG00000230679.1,ENO1-AS1
309,ENSG00000201725.1,RNU6-304P
310,ENSG00000238249.2,HMGN2P17
311,ENSG00000232208.2,RP3-477M7.5
312,ENSG00000232663.2,RP3-477M7.6
313,ENSG00000131686.15,CA6
314,ENSG00000265141.2,RN7SL451P
315,ENSG00000197241.4,SLC2A7
316,ENSG00000142583.18,SLC2A5
317,ENSG00000252404.1,ENSG10010139882.1
318,ENSG00000180758.12,GPR157
319,ENSG00000228526.7,MIR34AHG
320,ENSG00000284357.1,MIR34A
321,ENSG00000234546.4,LNCTAM34A
322,ENSG00000049239.13,H6PD
323,ENSG00000171621.14,SPSB1
324,ENSG00000284652.1,CTD-2510L9.2
325,ENSG00000284693.1,LINC02606
326,ENSG00000252956.1,RNA5SP40
327,ENSG00000235263.1,RP13-392I16.1
328,ENSG00000171612.7,SLC25A33
329,ENSG00000231181.1,RP13-15M17.1
330,ENSG00000188807.13,TMEM201
331,ENSG00000171608.16,PIK3CD
332,ENSG00000179840.5,PIK3CD-AS1
333,ENSG00000233268.3,RP11-558F24.2
334,ENSG00000231789.2,PIK3CD-AS2
335,ENSG00000171603.18,CLSTN1
336,ENSG00000271264.1,MZT1P1
337,ENSG00000280113.2,RP11-84A14.7
338,ENSG00000178585.15,CTNNBIP1
339,ENSG00000223989.1,RP11-84A14.5
340,ENSG00000285701.1,RP11-84A14.8
341,ENSG00000162441.12,LZIC
342,ENSG00000228150.1,RP11-84A14.4
343,ENSG00000173614.14,NMNAT1
344,ENSG00000202415.1,RN7SKP269
345,ENSG00000283611.2,TMEM274P
346,ENSG00000265521.1,MIR5697
347,ENSG00000241326.1,RP11-807G9.2
348,ENSG00000162444.12,RBP7
349,ENSG00000130939.20,UBE4B
350,ENSG00000224340.1,RP11-496H15.2
351,ENSG00000233623.2,PGAM1P11
352,ENSG00000201746.1,RNU6-828P
353,ENSG00000054523.19,KIF1B
354,ENSG00000264881.1,ENSG00000264881
355,ENSG00000199562.1,RNU6-37P
356,ENSG00000264501.2,RN7SL731P
357,ENSG00000284735.1,RP4-736L20.4
358,ENSG00000284642.1,RP4-736L20.5
359,ENSG00000142657.21,PGD
360,ENSG00000271989.1,RP4-736L20.3
361,ENSG00000251503.8,CENPS-CORT
362,ENSG00000175279.22,CENPS
363,ENSG00000241563.4,CORT
364,ENSG00000160049.12,DFFA
365,ENSG00000203469.2,RP5-1113E3.3
366,ENSG00000142655.13,PEX14
367,ENSG00000287727.1,RP4-734G22.4
368,ENSG00000243267.3,RN7SL614P
369,ENSG00000130940.15,CASZ1
370,ENSG00000272078.1,RP4-734G22.3
371,ENSG00000225158.2,HSPE1P24
372,ENSG00000175262.14,C1orf127
373,ENSG00000215785.2,CFL1P6
374,ENSG00000120948.19,TARDBP
375,ENSG00000009724.17,MASP2
376,ENSG00000116649.10,SRM
377,ENSG00000171824.14,EXOSC10
378,ENSG00000226849.1,RP4-635E18.7
379,ENSG00000230337.1,EXOSC10-AS1
380,ENSG00000198793.13,MTOR
381,ENSG00000225602.5,MTOR-AS1
382,ENSG00000253086.1,RNU6-537P
383,ENSG00000171819.5,ANGPTL7
384,ENSG00000207451.1,RNU6-291P
385,ENSG00000238173.1,RPL39P6
386,ENSG00000120942.14,UBIAD1
387,ENSG00000238199.1,UBE2V2P3
388,ENSG00000284646.1,RP4-796F18.3
389,ENSG00000224338.2,MTCYBP45
390,ENSG00000204624.8,DISP3
391,ENSG00000285833.1,RP11-149P14.2
392,ENSG00000235643.2,LINC01647
393,ENSG00000284708.1,RP3-330O12.5
394,ENSG00000116661.11,FBXO2
395,ENSG00000132879.14,FBXO44
396,ENSG00000116663.11,FBXO6
397,ENSG00000116670.15,MAD2L2
398,ENSG00000162490.7,DRAXIN
399,ENSG00000177674.16,AGTRAP
400,ENSG00000215910.7,C1orf167
401,ENSG00000177553.6,C1orf167-AS1
402,ENSG00000177000.13,MTHFR
403,ENSG00000011021.23,CLCN6
404,ENSG00000276470.1,ENSG10010138681.1
405,ENSG00000278852.1,ENSG10010135835.1
406,ENSG00000175206.10,NPPA
407,ENSG00000275915.1,ENSG10010134403.1
408,ENSG00000120937.9,NPPB
409,ENSG00000224904.1,SBF1P2
410,ENSG00000285646.2,RP5-934G17.7
411,ENSG00000199347.1,RNU5E-1
412,ENSG00000201801.1,RNU5E-4P
413,ENSG00000116685.16,KIAA2013
414,ENSG00000083444.17,PLOD1
415,ENSG00000287384.1,RP5-1077B9.6
416,ENSG00000116688.18,MFN2
417,ENSG00000270914.1,RP5-1077B9.5
418,ENSG00000116691.11,MIIP
419,ENSG00000202461.1,Y
420,ENSG00000276869.1,MIR6729
421,ENSG00000243539.3,RN7SL649P
422,ENSG00000120949.15,TNFRSF8
423,ENSG00000201135.1,RNU6-777P
424,ENSG00000227875.2,RPL23AP89
425,ENSG00000285604.1,RP11-426M1.3
426,ENSG00000283789.1,MIR7846
427,ENSG00000028137.19,TNFRSF1B
428,ENSG00000263676.1,MIR4632
429,ENSG00000225196.2,RPL10P17
430,ENSG00000252969.1,SNORA70
431,ENSG00000048707.15,VPS13D
432,ENSG00000239149.1,SNORA59A
433,ENSG00000229484.1,LINC02766
434,ENSG00000162496.9,DHRS3
435,ENSG00000221340.1,RNU6ATAC18P
436,ENSG00000276830.1,MIR6730
437,ENSG00000272482.1,RP11-474O21.5
438,ENSG00000204518.3,AADACL4
439,ENSG00000226166.2,RP11-474O21.2
440,ENSG00000188984.12,AADACL3
441,ENSG00000157330.10,C1orf158
442,ENSG00000116726.5,PRAMEF12
443,ENSG00000116721.9,PRAMEF1
444,ENSG00000228338.1,LINC01784
445,ENSG00000239810.3,PRAMEF11
446,ENSG00000231103.2,PRAMEF30P
447,ENSG00000179172.10,HNRNPCL1
448,ENSG00000120952.4,PRAMEF2
449,ENSG00000243073.4,PRAMEF4
450,ENSG00000187545.5,PRAMEF10
451,ENSG00000204510.5,PRAMEF7
452,ENSG00000207434.1,RNU6-1072P
453,ENSG00000234064.1,PRAMEF29P
454,ENSG00000232423.6,PRAMEF6
455,ENSG00000274178.2,PRAMEF28P
456,ENSG00000274764.6,PRAMEF27
457,ENSG00000277058.3,HNRNPCL3
458,ENSG00000229571.7,PRAMEF25
459,ENSG00000277862.1,PRAMEF34P
460,ENSG00000236179.1,PRAMEF35P
461,ENSG00000275774.3,HNRNPCL2
